[0.0, 0.0]
[0.74959180542854509, 0.034651894771031255]
[0.76186671044878485, 0.058793086802275241]
[0.77274216216309322, 0.00049193969782868052]
[0.75331801918384667, 0.0064877194567527496]
[0.76336278041716321, 0.041513313595066936]
[0.76046426749807128, 0.024284917851691734]
[0.77302499335365571, 0.17190653513466403]
[0.76937153340152253, 0.10005466997633095]
[0.78356803834126176, 0.29600433010755278]
[0.77958179276854711, 0.18729872327444719]
[0.79811951595055675, 0.79136116705951132]
[0.80983350878661309, 0.5759334401496643]
[0.82701654021571414, 0.98139972634185257]
[0.80666543024106341, 0.62963485701443922]
[0.77478455430971671, 0.9647266061542199]
[0.80134999322558942, 0.48212317742578259]
[0.77825685061888095, 0.74082492651363019]
[0.76100338513470778, 0.46664238035615258]
[0.75505107514919167, 0.98117648161688842]
[0.74479373863311293, 0.52223107849372274]
[0.75790786712077818, 0.63227051521569422]
[0.72611060173523079, 0.31778491648542584]
[0.69609872879112178, 0.24424083014728026]
[0.71359531352346073, 0.0067879285216556617]
[0.74168823661458827, 0.023092023677871776]
[0.75668899218743002, 0.16138737162600636]
[0.76367977302638623, 0.80456294737342526]
[0.75174276010017271, 0.42130821108414018]
[0.75440708076935659, 0.45247747548207107]
[0.75584533451144909, 0.34512369284314692]
[0.73911484192963561, 1.1698787463165141]
[0.7408237577026684, 0.69221346861216437]
[0.70624950017931143, 0.86683783709729356]
[0.68877269530173901, 0.15188362223115881]
[0.6990401571487368, 0.63352249413847073]
[0.69234786330400766, 0.27110088503697938]
[0.73213393279371664, 1.0696005436420375]
[0.73543774407743578, 0.16343339256897682]
[0.72671088293962205, 0.01398645538372012]
[0.74595294647839117, 0.019853320967682109]
[0.7424271649330727, 0.82033602276875417]
[0.71708132629842858, 0.41333891591954153]
[0.77367080225339713, 1.4362382494795449]
[0.80520542697943664, 0.79534737475093387]
[0.823109460110234, 1.4187875247809107]
[0.83545145831670187, 0.82161295280044122]
[0.86691737028112925, 1.1581235490346864]
[0.8602913941055732, 0.52466866192564598]
[0.87093970923783193, 1.274048951124934]
[0.91116975580739901, 0.74968992995137551]
[0.92369660199206383, 0.71314514651379657]
[0.93866420461564903, 0.20384794858236344]
[0.96818647230658783, 1.4775959197514625]
[1.0086407761357057, 0.74124706215158565]
[1.0281944416578659, 1.2676320089548669]
[1.0873074320923095, 0.78873707467757725]
[1.0953149899580055, 1.1429300025470308]
[1.1313232106063298, 0.37392068196334005]
[1.1815584863929782, 1.4921392517073411]
[1.2023540542436386, 0.8342985796893867]
[1.2325080259118959, 1.2110229654588442]
[1.2780726383935344, 0.74174906276804009]
[1.3401934802047171, 1.4538593398644819]
[1.3510424509197199, 0.48732120200771778]
[1.3780914696599096, 1.3492361916649607]
[1.415139965026234, 0.57271852275275315]
[1.4527255964090804, 1.3778899734343915]
